id,startDate,endDate
19171918,1917-12-19,1918-03-06
19181919,1918-12-21,1919-02-20
19191920,1919-12-23,1920-03-13
19201921,1920-12-22,1921-03-07
19211922,1921-12-17,1922-03-08
19221923,1922-12-16,1923-03-05
19231924,1923-12-15,1924-03-05
19241925,1924-11-29,1925-03-09
19251926,1925-11-26,1926-03-17
19261927,1926-11-16,1927-03-26
19271928,1927-11-15,1928-03-24
19281929,1928-11-15,1929-03-17
19291930,1929-11-14,1930-03-18
19301931,1930-11-11,1931-03-22
19311932,1931-11-12,1932-03-22
19321933,1932-11-10,1933-03-23
19331934,1933-11-09,1934-03-18
19341935,1934-11-08,1935-03-19
19351936,1935-11-07,1936-03-22
19361937,1936-11-05,1937-03-21
19371938,1937-11-04,1938-03-20
19381939,1938-11-03,1939-03-19
19391940,1939-11-02,1940-03-17
19401941,1940-11-02,1941-03-18
19411942,1941-11-01,1942-03-19
19421943,1942-10-31,1943-03-18
19431944,1943-10-30,1944-03-19
19441945,1944-10-28,1945-03-18
19451946,1945-10-24,1946-03-17
19461947,1946-10-16,1947-03-23
19471948,1947-10-15,1948-03-21
19481949,1948-10-13,1949-03-20
19491950,1949-10-12,1950-03-26
19501951,1950-10-11,1951-03-25
19511952,1951-10-11,1952-03-23
19521953,1952-10-09,1953-03-22
19531954,1953-10-08,1954-03-21
19541955,1954-10-07,1955-03-20
19551956,1955-10-06,1956-03-18
19561957,1956-10-11,1957-03-24
19571958,1957-10-08,1958-03-23
19581959,1958-10-08,1959-03-22
19591960,1959-10-07,1960-03-20
19601961,1960-10-05,1961-03-19
19611962,1961-10-11,1962-03-25
19621963,1962-10-10,1963-03-24
19631964,1963-10-08,1964-03-22
19641965,1964-10-12,1965-03-28
19651966,1965-10-23,1966-04-03
19661967,1966-10-19,1967-04-02
19671968,1967-10-11,1968-03-31
19681969,1968-10-11,1969-03-30
19691970,1969-10-11,1970-04-05
19701971,1970-10-09,1971-04-04
19711972,1971-10-08,1972-04-02
19721973,1972-10-07,1973-04-01
19731974,1973-10-10,1974-04-07
19741975,1974-10-09,1975-04-06
19751976,1975-10-07,1976-04-04
19761977,1976-10-05,1977-04-03
19771978,1977-10-12,1978-04-09
19781979,1978-10-11,1979-04-08
19791980,1979-10-09,1980-04-06
19801981,1980-10-09,1981-04-05
19811982,1981-10-06,1982-04-04
19821983,1982-10-05,1983-04-03
19831984,1983-10-04,1984-04-01
19841985,1984-10-11,1985-04-07
19851986,1985-10-10,1986-04-06
19861987,1986-10-09,1987-04-05
19871988,1987-10-08,1988-04-03
19881989,1988-10-06,1989-04-02
19891990,1989-10-05,1990-04-01
19901991,1990-10-04,1991-03-31
19911992,1991-10-03,1992-04-16
19921993,1992-10-06,1993-04-16
19931994,1993-10-05,1994-04-14
19941995,1995-01-20,1995-05-03
19951996,1995-10-06,1996-04-14
19961997,1996-10-04,1997-04-13
19971998,1997-10-01,1998-04-19
19981999,1998-10-09,1999-04-18
19992000,1999-10-01,2000-04-09
20002001,2000-10-04,2001-04-08
20012002,2001-10-03,2002-04-14
20022003,2002-10-09,2003-04-06
20032004,2003-10-08,2004-04-04
20052006,2005-10-05,2006-04-18
20062007,2006-10-04,2007-04-08
20072008,2007-09-29,2008-04-06
20082009,2008-10-04,2009-04-12
20092010,2009-10-01,2010-04-11
20102011,2010-10-07,2011-04-10
20112012,2011-10-06,2012-04-07
20122013,2013-01-19,2013-04-28
20132014,2013-10-01,2014-04-13
20142015,2014-10-08,2015-04-11
20152016,2015-10-07,2016-04-10
20162017,2016-10-12,2017-04-09
20172018,2017-10-04,2018-04-08
20182019,2018-10-03,2019-04-06
20192020,2019-10-02,2020-03-11
20202021,2021-01-13,2021-05-19
20212022,2021-10-12,2022-05-01
20222023,2022-10-07,2023-04-14
20232024,2023-10-10,2024-04-18
